word	nodeType	unit
left	ADJ	3x2
cool	ADJ	3x2
weird	ADJ	3x2
late	ADJ	3x2
high	ADJ	3x2
sad	ADJ	3x2
weird	ADJ	3x2
french	ADJ	3x2
same	ADJ	3x2
much	ADJ	3x2
present	ADJ	3x2
exciting	ADJ	3x2
common	ADJ	3x2
new	ADJ	3x2
least	ADJ	3x2
common	ADJ	3x2
great	ADJ	3x2
fun	ADJ	3x2
right	ADJ	3x2
about	ADJ	3x2
cheerful	ADJ	3x2
sad	ADJ	3x2
sad	ADJ	3x2
sad	ADJ	3x2
sad	ADJ	3x2
funny	ADJ	3x2
sad	ADJ	3x2
sad	ADJ	3x2
sad	ADJ	3x2
sad	ADJ	3x2
sad	ADJ	3x2
sad	ADJ	3x2
sad	ADJ	3x2
sad	ADJ	3x2
sad	ADJ	3x2
sad	ADJ	3x2
elementary	ADJ	3x2
new	ADJ	3x2
cool	ADJ	3x2
empty	ADJ	3x2
glad	ADJ	3x2
cyborg	ADJ	3x2
miserable	ADJ	3x2
same	ADJ	3x2
old	ADJ	3x2
close	ADJ	3x2
weird	ADJ	3x2
