word	nodeType	synsetCount	unit
good	ADJ	27	3x2
proud	ADJ	2	3x2
black	ADJ	22	3x2
black	ADJ	22	3x2
black	ADJ	22	3x2
own	ADJ	2	3x2
easy	ADJ	15	3x2
red	ADJ	7	3x2
black	ADJ	22	3x2
red	ADJ	7	3x2
okay	ADJ	4	3x2
nice	ADJ	6	3x2
next	ADJ	4	3x2
thrilling	ADJ	6	3x2
same	ADJ	6	3x2
similar	ADJ	5	3x2
perfect	ADJ	5	3x2
able	ADJ	4	3x2
simple	ADJ	9	3x2
mathematical	ADJ	5	3x2
right	ADJ	36	3x2
easy	ADJ	15	3x2
unbelievable	ADJ	2	3x2
exciting	ADJ	10	3x2
logical	ADJ	4	3x2
exciting	ADJ	10	3x2
flowery	ADJ	2	3x2
about	ADJ	8	3x2
guilty	ADJ	2	3x2
blah	ADJ	1	3x2
embarrassed	ADJ	4	3x2
well	ADJ	22	3x2
other	ADJ	4	3x2
more	ADJ	5	3x2
tough	ADJ	12	3x2
embarrassed	ADJ	4	3x2
square	ADJ	25	3x2
good	ADJ	27	3x2
square	ADJ	25	3x2
left	ADJ	24	3x2
cool	ADJ	11	3x2
weird	ADJ	3	3x2
late	ADJ	11	3x2
high	ADJ	18	3x2
sad	ADJ	3	3x2
weird	ADJ	3	3x2
french	ADJ	5	3x2
same	ADJ	6	3x2
much	ADJ	7	3x2
present	ADJ	18	3x2
exciting	ADJ	10	3x2
common	ADJ	10	3x2
new	ADJ	12	3x2
least	ADJ	3	3x2
common	ADJ	10	3x2
great	ADJ	7	3x2
fun	ADJ	4	3x2
right	ADJ	36	3x2
about	ADJ	8	3x2
cheerful	ADJ	2	3x2
sad	ADJ	3	3x2
sad	ADJ	3	3x2
sad	ADJ	3	3x2
sad	ADJ	3	3x2
funny	ADJ	5	3x2
sad	ADJ	3	3x2
sad	ADJ	3	3x2
sad	ADJ	3	3x2
sad	ADJ	3	3x2
sad	ADJ	3	3x2
sad	ADJ	3	3x2
sad	ADJ	3	3x2
sad	ADJ	3	3x2
sad	ADJ	3	3x2
sad	ADJ	3	3x2
elementary	ADJ	3	3x2
new	ADJ	12	3x2
cool	ADJ	11	3x2
empty	ADJ	10	3x2
glad	ADJ	5	3x2
cyborg	ADJ	1	3x2
miserable	ADJ	6	3x2
same	ADJ	6	3x2
old	ADJ	9	3x2
close	ADJ	37	3x2
weird	ADJ	3	3x2
